video_id,title,description,published_at
RlInCb5wS5I,Immigrants Don't Like Each Other | #shorts,What Asian do you need me to be? 🥟,2026-03-26T13:06:37Z
eMfHJv6qw9Y,Relaxing Bedtime Story | #shorts,Sweet dreams,2026-03-25T12:41:28Z
t48xD30clWs,Are Sweet Tooth's Real? | The Zarna Garg Family Podcast | #shorts,"Are sweet tooth’s a real thing? 

The Garg’s tried each other’s favorite snacks on today’s episode and let me confirm, the kids (and my husband) all make terrible decisions. Watch for yourself. 

And don’t worry, besides a few punches in the air, this did make it out as a lighthearted episode…I think 🤭

WATCH HERE: https://youtu.be/m18yxMnlIsw",2026-03-23T16:18:14Z
m18yxMnlIsw,The Zarna Garg Family Podcast | Episode 121: What Are We Snacking On?,"Do not offer me your snacks. I already know you made a bad decision.

The Garg’s share our favorite (and sometimes disgusting) cravings, force each other to taste them, and then act shocked when your protein rich, super ""gut"" healthy suggestions taste like trash. 

Some people are not snack people. They are just liars.

And thank you to our sponsors this week!

Get $25 off your first purchase when you go to TheRealReal.com/zarna. 

Go to DRINKAG1.com/ZARNA to get an AG1 Flavor Sampler and a bottle of Vitamin D3+K2 for FREE in your AG1 Welcome Kit with your first AG1 subscription order! 

Own your health for $365 a year. Visit www.functionhealth.com/ZARNA or use gift code ZARNA25 for a $25 credit toward your membership.",2026-03-23T16:01:13Z
0ouc_zR3Bb4,I Finally Got Therapy | #shorts,"f any of you actually pay for this, confess down below. I need a word with you.",2026-03-23T13:15:20Z
SIbEHdDQrSs,Going For a Walk | #shorts,Just say you hate your parents 🙄,2026-03-19T13:17:56Z
eNoJNTkEgKU,Online Shopping | #shorts,You’re just shopping for the wrong things.,2026-03-18T13:09:30Z
c71Kf-sClAU,What Will it Take to Share? | The Zarna Garg Family Podcast | #shorts,"True or false: Mom’s have to work twice as hard for the same flowers dad’s get.

Comment your answer below, fight each other if you must, but most importantly, tune in to the latest episode of The Zarna Garg Family Podcast - WE CAN’T SHARE.

Full episode: https://youtu.båce/XCggmEzjvHo",2026-03-16T15:59:00Z
XCggmEzjvHo,The Zarna Garg Family Podcast | Episode 120: We Can't Share,"Our pants are missing, Shalabh wants credit for parenting he didn’t do (which is all of it), and let’s just say one of the Gargs shrunk a $10,000  jacket that wasn’t theirs in the first place.

Tears, drama, and somehow still some laughter in this week’s episode. Tune in and tell us in the comments who gets your A grade.

Thank you to our sponsor for this week's episode! 

Stop putting off those doctors appointments and go to https://www.Zocdoc.com/ZARNA to find and instantly book a doctor you love today.",2026-03-16T15:47:40Z
jg7B9xCTyHs,Dating Advice | #shorts,🐄,2026-03-16T12:51:33Z
